Country,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered
,,0,0,0,0,0,0
 Azerbaijan,-azerbaijan,0,0,0,0,0,0
Afghanistan,afghanistan,63,237,0,4,0,5
Albania,albania,16,259,0,15,15,67
Algeria,algeria,131,847,14,58,15,61
Andorra,andorra,14,390,2,14,0,10
Angola,angola,1,8,0,2,0,1
Antigua and Barbuda,antigua-and-barbuda,0,7,0,0,0,0
Argentina,argentina,79,1133,5,32,8,248
Armenia,armenia,39,571,1,4,1,31
Aruba,aruba,0,4,0,0,0,0
Australia,australia,303,4862,2,20,64,422
Austria,austria,531,10711,18,146,341,1436
Azerbaijan,azerbaijan,61,359,0,5,0,26
Bahamas,bahamas,7,21,1,1,0,1
"Bahamas, The",bahamas-the,0,4,0,0,0,0
Bahrain,bahrain,2,569,0,4,42,337
Bangladesh,bangladesh,3,54,1,6,0,25
Barbados,barbados,11,45,0,0,0,0
Belarus,belarus,11,163,1,2,6,53
Belgium,belgium,1189,13964,123,828,436,2132
Belize,belize,0,3,0,0,0,0
Benin,benin,4,13,0,0,0,1
Bhutan,bhutan,0,4,0,0,0,0
Bolivia,bolivia,8,115,1,7,1,1
Bosnia and Herzegovina,bosnia-and-herzegovina,39,459,0,13,2,19
Botswana,botswana,0,4,0,1,0,0
Brazil,brazil,1214,6931,43,244,0,127
Brunei,brunei,2,131,0,1,7,52
Bulgaria,bulgaria,23,422,2,10,3,20
Burkina Faso,burkina-faso,21,282,2,16,14,46
Burma,burma,1,16,0,1,0,0
Burundi,burundi,0,0,0,0,0,0
Cabo Verde,cabo-verde,0,6,0,1,0,0
Cambodia,cambodia,0,109,0,0,2,25
Cameroon,cameroon,40,233,0,6,5,10
Canada,canada,1204,9731,10,111,-157,1435
Cape Verde,cape-verde,0,0,0,0,0,0
Cayman Islands,cayman-islands,0,1,0,0,0,0
Central African Republic,central-african-republic,0,3,0,0,0,0
Chad,chad,0,7,0,0,0,0
Channel Islands,channel-islands,0,0,0,0,0,0
Chile,chile,293,3031,4,16,78,234
